Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
sec40,0.00986190762280907,-1.38777878078145E-17,-6.93889390390723E-18,0,0,0,0.0573263557938968,2.91661427121802E-06,6.54926831459923E-24,3.62830346829495E-22,2.24174718695487E-06,1.68680578777252E-23,2.24174718695487E-06,0,0,0,0,0,0,package://fullurdf3/meshes/sec40.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec40.STL,,soliddisk-21;ballfeet-4,Coordinate System40,Axis_joint40,joint40,fixed,0.00999999999999998,0,0,0,0,0,sec39,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec41,-0.0025,0,0,0,0,0,0.01398,6.99E-07,3.5365E-25,-3.4866E-23,3.7863E-07,-2.6227E-23,3.7863E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec41.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec41.STL,,soliddisk-22,Coordinate System41,Axis_joint41,joint41,revolute,-0.016,0.01,0,0,0,0,base02,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec42,-0.00250000000000001,0,-6.93889390390723E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,2.8076173490865E-24,-3.9773971594086E-23,3.7862736460452E-07,-1.07361150337612E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec42.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec42.STL,,soliddisk-23,Coordinate System42,Axis_joint42,joint42,fixed,-0.01,0,0,0,0,0,sec41,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec43,-0.0025,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,2.80761734908649E-24,-3.9773971594086E-23,3.7862736460452E-07,1.62575456225526E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec43.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec43.STL,,soliddisk-24,Coordinate System43,Axis_joint43,joint43,fixed,-0.01,0,0,0,0,0,sec42,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec44,-0.0025,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,2.80761734908649E-24,-3.9773971594086E-23,3.7862736460452E-07,-3.7729775690075E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec44.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec44.STL,,soliddisk-25,Coordinate System44,Axis_joint44,joint44,fixed,-0.01,0,0,0,0,0,sec43,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec45,-0.00249999999999999,0,-5.20417042793042E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,5.26158649966047E-24,-4.4681909895234E-23,3.7862736460452E-07,-1.07361150337612E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec45.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec45.STL,,soliddisk-26,Coordinate System45,Axis_joint45,joint45,fixed,-0.01,0,0,0,0,0,sec44,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec46,-0.0025,1.38777878078145E-17,-5.20417042793042E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,2.8076173490865E-24,-3.48660332929381E-23,3.7862736460452E-07,-2.22390954270767E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec46.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec46.STL,,soliddisk-27,Coordinate System46,Axis_joint46,joint46,fixed,-0.01,0,0,0,0,0,sec45,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec47,-0.0025,1.38777878078145E-17,-5.20417042793042E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,3.53648198512522E-25,-3.48660332929381E-23,3.7862736460452E-07,-4.92327560833906E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec47.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec47.STL,,soliddisk-28,Coordinate System47,Axis_joint47,joint47,fixed,-0.01,0,0,0,0,0,sec46,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec48,-0.00249999999999999,0,-6.93889390390723E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,2.80761734908651E-24,-3.97739715940861E-23,3.7862736460452E-07,-2.22390954270767E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec48.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec48.STL,,soliddisk-29,Coordinate System48,Axis_joint48,joint48,fixed,-0.01,0,0,0,0,0,sec47,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec49,-0.0025,0,-5.20417042793042E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,2.8076173490865E-24,-3.48660332929381E-23,3.7862736460452E-07,-2.22390954270767E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec49.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec49.STL,,soliddisk-30,Coordinate System49,Axis_joint49,joint49,fixed,-0.01,0,0,0,0,0,sec48,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec50,-0.0098619076228091,2.77555756156289E-17,-4.85722573273506E-17,0,0,0,0.0573263557938968,2.91661427121802E-06,-5.61980354315542E-23,9.3804187619452E-23,2.24174718695487E-06,-1.83562051311597E-22,2.24174718695487E-06,0,0,0,0,0,0,package://fullurdf3/meshes/sec50.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec50.STL,,soliddisk-31;ballfeet-5,Coordinate System50,Axis_joint50,joint50,fixed,-0.01,0,0,0,0,0,sec49,0,0,0,100,0,-1.571,1.571,,,,,,,,
